Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_10	1	1	1	1	1	1	4035546	4035546	4035546	4035546	4035546	4035546	1	4035546	4035546	2895646	43.86	37.47	4035546	4035546	4035546	4035546	4035546.0	5624179.0	1	1	1	1	0	0	0	0	0	0	0	0 + 1 part	4035389	0.006	0.981	0.00	2547.77	636.94	157	157	-	-	-	-	0.0	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_11	1	1	1	1	1	1	2476451	2476451	2476451	2476451	2476451	2476451	1	2476451	2476451	2895646	51.16	37.47	2476451	2476451	2476451	-	2476451.0	2117941.7	1	1	1	-	0	0	0	0	0	0	0	0 + 1 part	2476359	0.003	1.011	0.00	3260.87	1086.96	92	92	-	-	-	-	0.0	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_12	1	1	1	1	0	0	17901	17901	17901	17901	0	0	1	17901	17901	2895646	45.13	37.47	17901	-	17901	-	17901.0	110.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	17901	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_13	1	1	1	1	1	1	579656	579656	579656	579656	579656	579656	1	579656	579656	2895646	65.26	37.47	579656	-	579656	-	579656.0	116036.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	579656	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_14	1	1	1	1	1	1	504464	504464	504464	504464	504464	504464	1	504464	504464	2895646	66.41	37.47	504464	-	504464	-	504464.0	87885.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	504464	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_15	1	1	1	1	1	1	954610	954610	954610	954610	954610	954610	1	954610	954610	2895646	66.71	37.47	954610	-	954610	-	954610.0	314707.1	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	954610	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_16	1	1	1	0	0	0	5990	5990	5990	0	0	0	1	5990	5990	2895646	50.58	37.47	5990	-	5990	-	5990.0	12.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5990	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_17	1	1	0	0	0	0	4437	4437	0	0	0	0	1	4437	4437	2895646	43.72	37.47	4437	-	4437	-	4437.0	6.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	4437	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_18	1	1	1	1	1	0	27057	27057	27057	27057	27057	0	1	27057	27057	2895646	38.09	37.47	27057	-	27057	-	27057.0	252.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	27057	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_19	1	1	1	1	0	0	11888	11888	11888	11888	0	0	1	11888	11888	2895646	68.77	37.47	11888	-	11888	-	11888.0	48.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	11888	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
