Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_10	1	1	1	1	1	0	32828	32828	32828	32828	32828	0	1	32828	32828	4758000	58.81	52.18	32828	-	32828	-	32828.0	226.5	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	13367	0.409	1.000	0.00	981.45	765.63	19461	19461	19461	-	-	-	11536.8	79.6	1	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_11	1	1	1	1	1	0	37190	37190	37190	37190	37190	0	1	37190	37190	4758000	52.53	52.18	37190	-	37190	-	37190.0	290.7	1	-	1	-	1	1	37190	0	0	0	0	0 + 0 part	0	0.744	1.048	0.00	1104.23	1136.55	35416	37130	35416	-	35416	-	33805.6	264.2	1	-	1	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_12	1	1	1	1	1	1	75915	75915	75915	75915	75915	75915	1	75915	75915	4758000	53.61	52.18	75915	-	75915	-	75915.0	1211.2	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	1.593	1.002	0.00	1265.89	1238.23	75915	75915	75915	-	75915	-	75915.0	1211.2	1	-	1	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_13	1	1	1	1	1	1	77200	77200	77200	77200	77200	77200	1	77200	77200	4758000	35.92	52.18	77200	-	77200	-	77200.0	1252.6	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	75618	0.033	1.006	0.00	2718.08	2022.76	1582	1582	-	-	-	-	32.4	0.5	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_14	1	1	1	1	1	1	77907	77907	77907	77907	77907	77907	1	77907	77907	4758000	44.88	52.18	77907	-	77907	-	77907.0	1275.6	1	-	1	-	0	0	0	0	0	0	1	0 + 1 part	39895	0.793	1.008	0.00	2783.33	2493.95	35565	38012	-	-	-	-	16312.5	267.1	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_15	1	1	1	1	1	1	76099	76099	76099	76099	76099	76099	1	76099	76099	4758000	32.80	52.18	76099	-	76099	-	76099.0	1217.1	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	76099	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_16	1	1	1	1	1	1	136806	136806	136806	136806	136806	136806	1	136806	136806	4758000	44.11	52.18	136806	-	136806	-	136806.0	3933.6	1	-	1	-	0	0	0	0	0	0	1	0 + 1 part	113766	0.244	1.985	0.00	2161.46	2052.95	8607	23040	-	-	-	-	1192.0	34.3	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_17	1	1	1	1	0	0	10036	10036	10036	10036	0	0	1	10036	10036	4758000	40.85	52.18	10036	-	10036	-	10036.0	21.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	10036	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_18	1	1	1	1	0	0	10054	10054	10054	10054	0	0	1	10054	10054	4758000	40.96	52.18	10054	-	10054	-	10054.0	21.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	10054	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_19	1	1	1	1	1	1	58518	58518	58518	58518	58518	58518	1	58518	58518	4758000	31.75	52.18	58518	-	58518	-	58518.0	719.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	58518	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
