Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_10	1	1	1	1	1	1	4035546	4035546	4035546	4035546	4035546	4035546	1	4035546	4035546	1479262	43.86	37.87	4035546	4035546	4035546	4035546	4035546.0	11009294.8	1	1	1	1	-	-	-	-	-	-	-	1 + 0 part	4035546	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_11	1	1	1	1	1	1	2476451	2476451	2476451	2476451	2476451	2476451	1	2476451	2476451	1479262	51.16	37.87	2476451	2476451	2476451	2476451	2476451.0	4145857.6	1	1	1	1	-	-	-	-	-	-	-	1 + 0 part	2476451	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_12	1	1	1	1	0	0	17901	17901	17901	17901	0	0	1	17901	17901	1479262	45.13	37.87	17901	-	17901	-	17901.0	216.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	17901	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_13	1	1	1	1	1	1	579656	579656	579656	579656	579656	579656	1	579656	579656	1479262	65.26	37.87	579656	-	579656	-	579656.0	227141.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	579656	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_14	1	1	1	1	1	1	504464	504464	504464	504464	504464	504464	1	504464	504464	1479262	66.41	37.87	504464	-	504464	-	504464.0	172034.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	504464	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_15	1	1	1	1	1	1	954610	954610	954610	954610	954610	954610	1	954610	954610	1479262	66.71	37.87	954610	954610	954610	-	954610.0	616037.1	1	1	1	-	-	-	-	-	-	-	-	1 + 0 part	954610	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_16	1	1	1	0	0	0	5990	5990	5990	0	0	0	1	5990	5990	1479262	50.58	37.87	5990	-	5990	-	5990.0	24.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	5990	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_17	1	1	0	0	0	0	4437	4437	0	0	0	0	1	4437	4437	1479262	43.72	37.87	4437	-	4437	-	4437.0	13.3	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	4437	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_18	1	1	1	1	1	0	27057	27057	27057	27057	27057	0	1	27057	27057	1479262	38.09	37.87	27057	-	27057	-	27057.0	494.9	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	1.822	1.002	0.00	1132.79	1399.33	27013	27013	27013	-	27013	-	26969.1	493.3	1	-	1	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_19	1	1	1	1	0	0	11888	11888	11888	11888	0	0	1	11888	11888	1479262	68.77	37.87	11888	-	11888	-	11888.0	95.5	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	11888	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_1	1	1	1	1	1	1	1658662	1658662	1658662	1658662	1658662	1658662	1	1658662	1658662	1479262	66.00	37.87	1658662	1658662	1658662	1658662	1658662.0	1859819.0	1	1	1	1	-	-	-	-	-	-	-	1 + 0 part	1658662	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_20	1	1	1	1	1	0	48173	48173	48173	48173	48173	0	1	48173	48173	1479262	46.14	37.87	48173	-	48173	-	48173.0	1568.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	48173	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_21	1	1	1	1	1	1	543768	543768	543768	543768	543768	543768	1	543768	543768	1479262	67.61	37.87	543768	-	543768	-	543768.0	199885.9	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	543768	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_22	1	1	1	1	1	1	85953	85953	85953	85953	85953	85953	1	85953	85953	1479262	15.67	37.87	85953	-	85953	-	85953.0	4994.3	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	85881	0.005	1.000	0.00	0.00	0.00	72	72	-	-	-	-	0.1	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_23	1	1	1	1	1	0	49533	49533	49533	49533	49533	0	1	49533	49533	1479262	51.99	37.87	49533	-	49533	-	49533.0	1658.6	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	49533	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_24	1	1	1	1	1	0	38896	38896	38896	38896	38896	0	1	38896	38896	1479262	64.70	37.87	38896	-	38896	-	38896.0	1022.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	38896	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-100000.flye.contig_25	1	1	1	1	1	1	109913	109913	109913	109913	109913	109913	1	109913	109913	1479262	46.53	37.87	109913	-	109913	-	109913.0	8166.8	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	109913	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
