Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_10	1	1	1	1	1	0	32828	32828	32828	32828	32828	0	1	32828	32828	2718711	58.81	32.86	32828	-	32828	-	32828.0	396.4	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	32828	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_11	1	1	1	1	1	0	37190	37190	37190	37190	37190	0	1	37190	37190	2718711	52.53	32.86	37190	-	37190	-	37190.0	508.7	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	37190	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_12	1	1	1	1	1	1	75915	75915	75915	75915	75915	75915	1	75915	75915	2718711	53.61	32.86	75915	-	75915	-	75915.0	2119.8	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	75821	0.003	1.000	0.00	3191.49	0.00	94	94	-	-	-	-	0.1	0.0	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_13	1	1	1	1	1	1	77200	77200	77200	77200	77200	77200	1	77200	77200	2718711	35.92	32.86	77200	-	77200	-	77200.0	2192.2	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	1650	2.763	1.006	0.00	1906.02	1908.67	75550	75550	75550	-	75550	-	73935.3	2099.5	1	-	1	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_14	1	1	1	1	1	1	77907	77907	77907	77907	77907	77907	1	77907	77907	2718711	44.88	32.86	77907	-	77907	-	77907.0	2232.5	1	-	1	-	0	0	0	0	0	0	1	0 + 1 part	55800	0.813	1.000	0.00	891.12	827.79	19654	22107	-	-	-	-	5035.5	144.3	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_15	1	1	1	1	1	1	76099	76099	76099	76099	76099	76099	1	76099	76099	2718711	32.80	32.86	76099	-	76099	-	76099.0	2130.1	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	2.777	1.008	0.00	2048.14	2309.75	76069	76069	76069	-	76069	-	76039.0	2128.4	1	-	1	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_16	1	1	1	1	1	1	136806	136806	136806	136806	136806	136806	1	136806	136806	2718711	44.11	32.86	136806	-	136806	-	136806.0	6884.1	1	-	1	-	0	0	0	0	0	0	0	0 + 1 part	74857	2.250	1.013	0.00	1795.02	2150.16	61949	61949	-	-	-	-	28052.0	1411.6	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_17	1	1	1	1	0	0	10036	10036	10036	10036	0	0	1	10036	10036	2718711	40.85	32.86	10036	-	10036	-	10036.0	37.0	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	10036	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_18	1	1	1	1	0	0	10054	10054	10054	10054	0	0	1	10054	10054	2718711	40.96	32.86	10054	-	10054	-	10054.0	37.2	1	-	1	-	-	-	-	-	-	-	-	1 + 0 part	10054	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dna_r10.4.1_e8.2_400bps_fast@v4.0.0-10000.flye.contig_19	1	1	1	1	1	1	58518	58518	58518	58518	58518	58518	1	58518	58518	2718711	31.75	32.86	58518	-	58518	-	58518.0	1259.6	1	-	1	-	0	0	0	0	0	0	0	0 + 0 part	0	2.136	1.007	0.00	1469.23	1766.84	58466	58466	58466	-	58466	-	58414.0	1257.3	1	-	1	-
