#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_59	2842517	10	N	N	2	*	*,59
contig_1	2782370	13	N	N	2	*	*,1,*
contig_44	2715190	8	N	N	1	*	-86,44,*
contig_15	1698542	12	N	N	2	*	-17,15,17
contig_120	1034284	5	N	N	1	*	*,120,*
contig_10	887459	6	N	N	1	*	*,10,*
contig_62	741161	6	N	N	1	*	*,62
contig_57	397441	4	N	N	1	*	*,57,*
contig_40	357923	7	N	N	1	*	*,40,*
contig_117	355962	7	N	N	1	*	*,117,*
contig_3	315037	8	N	N	1	*	*,3,*
contig_60	304342	6	N	N	1	*	*,60
contig_121	295522	4	N	N	1	*	*,121,*
contig_16	260015	6	N	N	1	*	*,16,*
contig_103	243211	4	N	N	1	*	*,103,*
contig_56	234673	4	N	N	1	*	*,53,53,134,53,53,134,54,53,134,56,*
contig_81	222306	11	N	N	2	*	*,81,*
contig_4	218723	8	N	N	1	*	*,4,*
contig_47	204839	3	N	N	1	*	*,47,*
contig_83	201011	7	N	N	1	*	*,83
contig_126	189754	4	N	N	1	*	*,126,*
contig_141	185770	7	N	N	1	*	*,141,*
contig_2	179885	7	N	N	1	*	*,2,*
contig_28	178634	4	N	N	1	*	*,28,*
contig_138	172264	4	N	N	1	*	*,138,*
contig_37	171633	3	N	N	1	*	*,37,*
contig_123	155911	7	N	N	1	*	*,123,*
contig_106	147720	7	N	N	1	*	*,106,*
contig_68	146125	6	N	N	1	*	*,68,95
contig_43	142552	6	N	N	1	*	*,43,*
contig_131	136851	4	N	N	1	*	*,131,*
contig_124	129659	7	N	N	1	*	*,124,*
contig_135	119106	4	N	N	1	*	*,135,*
contig_112	114967	4	N	N	1	*	*,112,*
contig_119	110696	9	N	N	1	*	*,119,*
contig_19	106115	3	N	N	1	*	116,19,*
contig_38	103627	3	N	N	1	*	*,38,*
contig_50	99010	3	N	N	1	*	*,50,*
contig_137	97684	5	N	N	1	*	*,137,*
contig_80	94359	3	N	N	1	*	*,80,*
contig_24	86797	8	N	N	1	*	*,24,25
contig_101	85955	9	N	N	1	*	*,101,*
contig_65	85514	5	N	N	1	*	*,65,*
contig_107	83766	5	N	N	1	*	*,107,*
contig_139	83409	3	N	N	1	*	*,139,*
contig_39	82284	3	N	N	1	*	*,39,*
contig_113	82227	13	N	N	2	*	*,113,*
contig_27	81061	7	N	N	1	*	*,27,*
contig_127	80279	7	N	N	1	*	*,127,*
contig_98	79180	6	N	N	1	*	*,98,*
contig_32	75535	3	N	N	1	*	*,32,*
contig_52	74858	5	N	N	1	*	*,52,*
contig_118	74167	7	N	N	1	*	*,118,*
contig_71	72508	3	N	N	1	*	*,71,*
